body,title,url
"La renuencia de México a gastar dinero, realizar más pruebas, modificar la estrategia o reaccionar ante nueva evidencia científica contribuyeron a que el país sea uno de los más afectados por la pandemia de coronavirus, de acuerdo con un informe publicado esta semana por la Universidad de California, campus San Francisco.","México, de los más afectados por Covid-19 por renuencia a cambiar estrategia: Universidad de California",https://www.eluniversal.com.mx/mundo/covid-19-mexico-de-los-mas-afectados-por-negativa-cambiar-de-estrategia-estudio
"El experimentado pelotero Adrián Titán González se incorporó a los trabajos de pretemporada de los Mariachis de Guadalajara, en Puerto Vallarta, bajo las órdenes de Benjamín Gil.",El Titán González ya entrena con los Mariachis,https://www.eluniversal.com.mx/universal-deportes/beisbol/el-titan-gonzalez-ya-entrena-con-los-mariachis
"Chilpancingo.- “No me llamo Juanita, soy Evelyn Salgado Pineda”, atajó la hija de Félix Salgado Macedonio, los rumores de que podría ser registrada como candidata de Morena a la gubernatura de Guerrero, en sustitución de su padre.",Hija de Félix Salgado niega que lo vaya a sustituir en la candidatura de Morena,https://www.eluniversal.com.mx/elecciones/hija-de-felix-salgado-niega-que-lo-vaya-sustituir-en-la-candidatura-de-morena
"Después de desechar una moción suspensiva del PAN, el pleno de la Cámara de Diputados aprobó en lo general con 292 votos a favor de Morena, PT, PES y Verde la contrarreforma petrolera del presidente Andrés Manuel López Orador.",Avalan en lo general la Ley de Hidrocarburos de AMLO en San Lázaro; se desahogan 103 reservas,https://www.eluniversal.com.mx/nacion/camara-de-diputados-avalan-en-lo-general-reforma-petrolera
"En los últimos años “La Rosa de Guadalupe” se ha distinguido por llevar a la pantalla chica temas sociales actuales a sus historias y aunque en ocasiones esto les ha traído adeptos por su prontitud para tratar temas que suenan en los noticieros o en el acontecer diario, en otras ocasiones esto ha causado molestia entre el público.","Usuarios se lanzan contra ""La rosa de Guadalupe"" por mostrar caso de Nath Campos",https://www.eluniversal.com.mx/espectaculos/nath-campos-usuarios-se-lanzan-contra-la-rosa-de-guadalupe-por-mostrar-caso
La revancha no se dio. La espinita sigue clavada. Y más profundo.  ,León es eliminado de la Concacaf por el Toronto,https://www.eluniversal.com.mx/universal-deportes/futbol/toronto-vs-leon-en-vivo-octavos-de-final-concacaf
"
San José.— Pese a que Estados Unidos pactó con México, Guatemala y Honduras implantar un muro militar y policial para detener a los migrantes irregulares, la administración Biden se topó con la resistencia de autoridades gubernamentales del área a unir la nueva política migratoria de la Casa Blanca con el ataque a la corrupción en el Triángulo Norte de Centroamérica.","Por presión de Biden, en Centroamérica extrañan a Donald Trump",https://www.eluniversal.com.mx/mundo/por-presion-de-biden-en-centroamerica-extranan-donald-trump
"Cancún.- El Grupo RIU denunció por probable corrupción de menores, a abogados y padres de familia que representan a menores de edad y han interpuesto juicios de amparo en contra de su proyecto Hotel Riviera Cancún, detenido desde el cuatro de marzo de 2020, por múltiples controversias judiciales.",Grupo RIU denuncia a representantes de adolescentes amparados contra proyecto hotelero en Cancún,https://www.eluniversal.com.mx/estados/grupo-riu-denuncia-representantes-de-adolescentes-amparados-contra-proyecto-hotelero-en
"
La crisis económica le ha llegado tan al cuello a la Brigada para Leer en Libertad (A.C. creada por Paco Ignacio Taibo II y su pareja, la promotora Paloma Sáiz) que no sólo llaman a la solidaridad de quienes por años han comprado los libros de saldo que la Brigada vende en ferias de libros (muchas organizadas por ellos en alcaldías y municipios), sino que desde hace días abrieron una “librería virtual” a través de Twitter, donde venden esos saldos e, incluso, comercializan los títulos del propio Taibo. Pero ya pueden estar tranquilos, pues ningún esfuerzo supera la recomendación que ayer hizo el presidente López Obrador “de pasadita” en su conferencia. Cuando hablaba de la vacuna Patria, recordó y enumeró los títulos de Patria, de Taibo, director del FCE. La Brigada, consciente del poder del mensaje, colgó el video con la recomendación presidencial, y añadió la invitación a “vacunarse contra la ignorancia”.","AMLO, el promotor de los libros de Taibo",https://www.eluniversal.com.mx/cultura/amlo-el-promotor-de-los-libros-de-taibo
"Nueva York.- Bernard L. Madoff, el arquitecto del mayor fraude financiero que se conoce, falleció este miércoles en prisión a los 82 años, tras una vida de película que le llevó de un barrio obrero de Nueva York a lo más alto de Wall Street y, finalmente, a convertirse en una de las figuras más odiadas del mundo de las finanzas. ","¿Quién era Bernie Madoff, ""el mayor estafador"" de la historia? ",https://www.eluniversal.com.mx/mundo/quien-era-bernie-madoff-el-mayor-estafador-de-la-historia
